,발생일,위도,경도,지역
14864,2022-07-04,37.33070685465282,127.0645023366366,용인시수지구
14289,2022-07-04,37.33856681161152,127.09375056236978,용인시수지구
14094,2022-07-04,37.34774876038795,126.95218931569777,군포시
14941,2022-07-04,37.35126896568016,126.74549272323009,시흥시
14940,2022-07-04,37.35214908634916,126.71648854435688,시흥시
14095,2022-07-04,37.35567486896283,126.9708336854825,의왕시
14148,2022-07-04,37.35613434410244,127.16585614682448,광주시
14144,2022-07-04,37.37039566040039,126.9449462890625,군포시
14279,2022-07-04,37.3787312,126.7252582,시흥시
14322,2022-07-04,37.3808601,127.2350483,광주시
14475,2022-07-04,37.39582117113052,126.97584365073897,안양시동안구
14862,2022-07-04,37.43089828145369,127.17408246868835,성남시 중원구
14977,2022-07-04,37.4420302140655,126.83207296532731,시흥시
14976,2022-07-04,37.44205729255806,126.83210680548363,시흥시
14981,2022-07-04,37.45032296709324,126.63265737727096,미추홀구
14980,2022-07-04,37.45038794670729,126.63254687059306,미추홀구
14507,2022-07-04,37.4610681,126.6968886,남동구
14863,2022-07-04,37.46866943698158,126.65038018677116,미추홀구
14315,2022-07-04,37.4712131580397,126.64305711038584,인천광역시 동구
14325,2022-07-04,37.4882303,126.6399556,인천광역시 동구
14136,2022-07-04,37.48949816540132,127.50215335230902,양평군
14894,2022-07-04,37.49935104954909,126.90886470011196,영등포구
15013,2022-07-04,37.52172608605037,126.8937102040865,영등포구
15014,2022-07-04,37.52173514186281,126.89376109630572,영등포구
14186,2022-07-04,37.53048697363853,126.6405602169486,인천광역시 서구
14321,2022-07-04,37.5440373,127.174938,하남시
14139,2022-07-04,37.5442005,127.1745268,하남시
14097,2022-07-04,37.5442056,127.174501,하남시
14143,2022-07-04,37.5442089,127.1745577,하남시
14242,2022-07-04,37.54421,127.1745221,하남시
14313,2022-07-04,37.5442425,127.1745753,하남시
14140,2022-07-04,37.5442522,127.1746426,하남시
14138,2022-07-04,37.5442559,127.1745542,하남시
14504,2022-07-04,37.5442635,127.1746956,하남시
14137,2022-07-04,37.544269,127.1746511,하남시
14323,2022-07-04,37.5443489650862,127.17533706725,하남시
14899,2022-07-04,37.563212,127.04681,성동구
14505,2022-07-04,37.56395545634164,127.05855123332206,동대문구
14503,2022-07-04,37.592470101499,127.199770638535,남양주시
14472,2022-07-04,37.59922495580986,127.7067522426394,홍천군
14239,2022-07-04,37.611584021694725,126.73059822823087,김포시
15012,2022-07-04,37.614137,127.0783194,중랑구
14099,2022-07-04,37.62227307691579,126.71015613728464,김포시
14098,2022-07-04,37.62643244226944,126.71253870208577,김포시
14288,2022-07-04,37.63997697779678,126.681178608753,김포시
14474,2022-07-04,37.68610674869462,127.49459335794238,가평군
14180,2022-07-04,37.69368066134111,126.74136197341588,고양시일산서구
14181,2022-07-04,37.71717856097341,127.31992318296416,남양주시
14317,2022-07-04,37.72076333333333,126.81661166666666,고양시일산동구
14905,2022-07-04,37.745013575070224,127.21109337889006,남양주시
14237,2022-07-04,37.751197696749685,127.1183387105444,의정부시
14495,2022-07-05,33.40554724411612,126.62007492675616,제주시
14832,2022-07-05,33.48441880675323,126.43089499577134,제주시
14711,2022-07-05,33.49067,126.5382979,제주시
14533,2022-07-05,34.62962,126.901695,장흥군
14858,2022-07-05,34.74860377543538,127.68398083827007,여수시
14824,2022-07-05,34.9272142953502,128.426853920276,통영시
14826,2022-07-05,34.93786220183618,128.42359015929654,통영시
14606,2022-07-05,34.9560574637941,127.7587912762776,광양시
14605,2022-07-05,34.97209496556537,127.74629289856064,광양시
14828,2022-07-05,35.08551947775771,128.9627510124156,사하구
14958,2022-07-05,35.105724739298786,128.9739461161512,사하구
14933,2022-07-05,35.10587302336773,128.97369472741494,사하구
14973,2022-07-05,35.13705033742483,126.79894830128634,광산구
14827,2022-07-05,35.15094579588251,126.83880641648685,광주광역시 서구
14714,2022-07-05,35.1618945,129.04985,부산진구
14531,2022-07-05,35.16862780354723,126.90432545269742,광주광역시 북구
