,발생일,위도,경도,지역
7111,2022-05-12,35.16391071370018,126.85578852637488,광주광역시 서구
7133,2022-05-12,35.1655446,129.1254444,수영구
7178,2022-05-12,35.1721294,128.8141716,김해시
7135,2022-05-12,35.17452,128.9765941,사상구
7115,2022-05-12,35.19220259107014,126.82384701242977,광산구
7110,2022-05-12,35.19339659280554,126.82364679152836,광산구
7016,2022-05-12,35.2101406,128.697294,창원시 성산구
7103,2022-05-12,35.21674688251502,126.82731416494089,광산구
7107,2022-05-12,35.216864112458225,126.82735235842564,광산구
7153,2022-05-12,35.700638213663474,128.44568928939188,달성군
7136,2022-05-12,35.88597883233131,128.6324794406763,대구광역시 동구
7013,2022-05-12,35.950896666666665,126.63086166666666,군산시
7081,2022-05-12,35.9836919,128.5506661,칠곡군
7089,2022-05-12,36.41205933248544,127.42445415127872,대덕구
7125,2022-05-12,36.42300333333333,127.29328,세종특별자치시
7065,2022-05-12,36.7333930727067,127.2586680447241,천안시동남구
7012,2022-05-12,37.01015555,127.284675,안성시
7124,2022-05-12,37.01805168506856,127.0956716047764,평택시
7134,2022-05-12,37.2487988,126.8389883,화성시
7099,2022-05-12,37.26438605322311,127.04497052851038,수원시 영통구
7064,2022-05-12,37.289278333333336,127.14804166666669,용인시기흥구
7177,2022-05-12,37.37106704711914,127.29967498779295,광주시
7014,2022-05-12,37.40227133364824,126.61963268789393,연수구
7137,2022-05-12,37.43898544786265,126.89510421169594,광명시
7160,2022-05-12,37.50543,126.62781333333334,인천광역시 서구
7015,2022-05-12,37.50693,126.7211216666667,부평구
7011,2022-05-12,37.5297823530536,126.89266924922396,영등포구
7175,2022-05-13,34.99950387396958,126.90178142029384,화순군
7165,2022-05-13,35.13847396653164,126.83108419107744,광주광역시 서구
7168,2022-05-13,35.13916398736095,126.83142841257056,광주광역시 서구
7166,2022-05-13,35.149050714695385,126.83056849667524,광산구
7173,2022-05-13,35.16720899928148,126.81841258659362,광산구
7141,2022-05-13,35.17602373890778,128.7997125385453,김해시
7040,2022-05-13,35.18010635609175,126.79515359026466,광산구
7102,2022-05-13,35.21433068640155,128.84541041360524,김해시
7139,2022-05-13,35.2220321,128.5855913,창원시 마산회원구
7167,2022-05-13,35.2746255,128.9708829,김해시
7174,2022-05-13,35.3885040325095,126.69265500285888,고창군
