,발생일,위도,경도,지역
20747,2022-01-01,33.48590333333333,126.47921166666669,제주시
20756,2022-01-01,33.485995678589035,126.4847855435552,제주시
20755,2022-01-01,33.48599590223086,126.48483934096768,제주시
20578,2022-01-01,34.813873291015625,126.41364288330078,목포시
20745,2022-01-01,35.08898883333333,128.90313666666663,부산광역시 강서구
20581,2022-01-01,35.106059661868535,128.96859168446755,사하구
20602,2022-01-01,35.1225479,126.9171934,광주광역시 남구
20744,2022-01-01,35.13290786743164,126.91064453125,광주광역시 남구
20740,2022-01-01,35.160301208496094,129.03517150878906,부산진구
20608,2022-01-01,35.24852752685547,129.09178161621094,금정구
20583,2022-01-01,35.26036333333333,129.0910945,금정구
20746,2022-01-01,35.26151444065262,128.63110451327367,창원시 의창구
20555,2022-01-01,35.566505432128906,126.86043548583984,정읍시
20563,2022-01-01,35.577911666666665,126.84572,정읍시
20556,2022-01-01,35.68903350830078,127.92012786865234,거창군
20609,2022-01-01,35.82291830567409,128.748802119918,경산시
20753,2022-01-01,35.833343505859375,128.5072784423828,달서구
20606,2022-01-01,35.867473,127.1467292,전주시덕진구
20607,2022-01-01,35.87213,128.63548333333333,수성구
20561,2022-01-01,35.94606399536133,126.56838989257812,군산시
20568,2022-01-01,35.96222305297852,126.74349212646484,군산시
20582,2022-01-01,36.048126220703125,129.36764526367188,포항시 북구
20605,2022-01-01,36.32199096679688,127.39591217041016,대전광역시 중구
20579,2022-01-01,36.3744395,127.4275806,대덕구
20559,2022-01-01,36.63446166666667,127.44737166666668,청주시 흥덕구
20741,2022-01-01,36.77193832397461,127.05487823486328,아산시
20754,2022-01-01,36.90052795410156,126.63259887695312,당진시
20558,2022-01-01,37.15970993041992,127.17559051513672,용인시처인구
20757,2022-01-01,37.2554684987461,127.0939941117967,용인시기흥구
20593,2022-01-01,37.29413833333334,126.854845,안산시상록구
20603,2022-01-01,37.33855819702149,126.74640655517578,시흥시
20566,2022-01-01,37.340395,127.0959555,용인시수지구
20560,2022-01-01,37.363525,127.10603333333331,성남시 분당구
20557,2022-01-01,37.36693572998047,126.72857666015624,시흥시
